der Hund||le chien|||||
die Maus||la souris|||||
ein Tier||un animal|||||
die Katze||le chat|||||
der Schmetterling||le papillon|||||
das Schwein||le cochon|||||
die Ente||le canard|||||
ein Vogel||un oiseau|||||
die Kuh||la vache|||||
ein Bär||un ours|||||
die Schildkröte||la tortue|||||
das Pferd||le cheval|||||
der Hahn||le coq|||||
eine Schnecke||un escargot|||||
die Henne||la poule|||||
eine Spinne||une araignée|||||
der Frosch||la grenouille|||||
ein Insekt||un insecte|||||
eine Biene||une abeille|||||
die Fliege||la mouche|||||
die Ameise||la fourmi|||||
